referrer,views_total,views_unique
github.com,525,344
Google,194,98
yandex.ru,13,7
emailnuker.onrender.com,8,6
yandex.com,8,4
DuckDuckGo,5,3
t.me,4,4
facebook.com,2,2
Bing,2,2
com.google.android.gm,1,1
