url_path,views_total,views_unique
/bagarrattaa/email-nuker,750,480
/bagarrattaa/email-nuker/blob/main/bomber.py,38,31
/bagarrattaa/email-nuker/issues,35,25
/bagarrattaa/email-nuker/blob/main/emailbomber.py,34,27
/bagarrattaa/email-nuker/blob/main/bomber.bin,32,25
/bagarrattaa/email-nuker/issues/15,17,16
/bagarrattaa/email-nuker/releases/tag/windows2.0,17,16
/bagarrattaa/email-nuker/tree/main/.github/workflows,10,9
/bagarrattaa/email-nuker/blob/main/README.md,10,7
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,9,8
