referrer,views_total,views_unique
github.com,461,272
Google,151,69
yandex.ru,21,11
DuckDuckGo,11,4
emailnuker.onrender.com,10,8
Bing,6,4
search-drru.dt.dbankcloud.com,4,1
yandex.com,3,3
facebook.com,2,2
yandex.by,2,1
