referrer,views_total,views_unique
github.com,438,250
Google,131,56
yandex.ru,18,14
DuckDuckGo,18,6
emailnuker.onrender.com,9,7
Bing,5,5
search-drru.dt.dbankcloud.com,4,1
yandex.by,2,1
yandex.kz,1,1
errorsfind.com,1,1
