referrer,views_total,views_unique
github.com,516,279
Google,185,103
emailnuker.herokuapp.com,40,17
DuckDuckGo,4,4
Bing,4,3
search.brave.com,3,2
itexpertz.net,1,1
yandex.ru,1,1
Yahoo,1,1
