referrer,views_total,views_unique
github.com,518,292
Google,201,101
search.brave.com,7,1
Bing,6,2
DuckDuckGo,5,5
yandex.ru,2,2
m.facebook.com,1,1
yandex.com,1,1
pythonawesome.com,1,1
