referrer,views_total,views_unique
github.com,408,220
Google,271,143
emailnuker.herokuapp.com,47,22
l.facebook.com,8,2
DuckDuckGo,5,3
email-nuker.herokuapp.com,5,2
m.facebook.com,3,2
Bing,3,1
errorsfind.com,2,2
search.brave.com,2,2
