referrer,views_total,views_unique
github.com,428,274
Google,178,95
yandex.ru,9,6
DuckDuckGo,7,5
yandex.com,4,2
t.me,3,3
search.brave.com,2,1
emailnuker.onrender.com,1,1
Bing,1,1
Yahoo,1,1
