referrer,views_total,views_unique
github.com,566,343
Google,167,79
pythonawesome.com,9,1
search.brave.com,7,5
Bing,7,4
DuckDuckGo,5,4
yandex.ru,4,4
youtube.com,4,3
cracked.io,1,1
shell.cloud.google.com,1,1
