url_path,views_total,views_unique
/bagarrattaa/email-nuker,795,454
/bagarrattaa/email-nuker/blob/main/bomber.py,50,35
/bagarrattaa/email-nuker/issues,35,21
/bagarrattaa/email-nuker/blob/main/emailbomber.py,34,29
/bagarrattaa/email-nuker/blob/main/README.md,21,12
/bagarrattaa/email-nuker/find/main,13,12
/bagarrattaa/email-nuker/blob/main/bomber.bin,12,12
/bagarrattaa/email-nuker/releases/tag/windows2.0,12,12
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,12,10
/bagarrattaa/email-nuker/pulls,11,10
