time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-11 00:00:00+00:00,12,10,73,47
2023-02-12 00:00:00+00:00,13,9,64,43
2023-02-13 00:00:00+00:00,23,16,86,31
2023-02-14 00:00:00+00:00,15,10,107,55
2023-02-15 00:00:00+00:00,16,12,68,41
2023-02-16 00:00:00+00:00,13,13,78,51
2023-02-17 00:00:00+00:00,19,16,110,48
2023-02-18 00:00:00+00:00,7,7,109,56
2023-02-19 00:00:00+00:00,18,15,80,45
2023-02-20 00:00:00+00:00,16,14,90,50
2023-02-21 00:00:00+00:00,11,11,67,37
2023-02-22 00:00:00+00:00,15,13,54,37
2023-02-23 00:00:00+00:00,9,9,93,54
2023-02-24 00:00:00+00:00,8,8,108,44
