time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-06 00:00:00+00:00,24,18,100,51
2022-12-07 00:00:00+00:00,18,13,71,42
2022-12-08 00:00:00+00:00,20,13,81,38
2022-12-09 00:00:00+00:00,13,12,116,50
2022-12-10 00:00:00+00:00,24,10,94,31
2022-12-11 00:00:00+00:00,17,15,93,40
2022-12-12 00:00:00+00:00,7,5,112,45
2022-12-13 00:00:00+00:00,14,10,85,38
2022-12-14 00:00:00+00:00,13,11,105,49
2022-12-15 00:00:00+00:00,16,15,125,61
2022-12-16 00:00:00+00:00,11,8,95,34
2022-12-17 00:00:00+00:00,8,8,58,29
2022-12-18 00:00:00+00:00,7,7,66,34
2022-12-19 00:00:00+00:00,11,9,110,38
