time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-23 00:00:00+00:00,14,14,107,55
2022-08-24 00:00:00+00:00,12,11,90,51
2022-08-25 00:00:00+00:00,16,14,148,65
2022-08-26 00:00:00+00:00,9,9,82,47
2022-08-27 00:00:00+00:00,15,13,88,37
2022-08-28 00:00:00+00:00,12,9,48,18
2022-08-29 00:00:00+00:00,18,14,105,31
2022-08-30 00:00:00+00:00,17,16,66,33
2022-08-31 00:00:00+00:00,14,12,47,24
2022-09-01 00:00:00+00:00,19,17,78,44
2022-09-02 00:00:00+00:00,20,19,77,40
2022-09-03 00:00:00+00:00,17,16,70,43
2022-09-04 00:00:00+00:00,13,13,75,40
2022-09-05 00:00:00+00:00,19,13,76,46
