referrer,views_total,views_unique
github.com,506,258
Google,188,86
emailnuker.onrender.com,16,10
DuckDuckGo,7,5
yandex.ru,6,3
Bing,6,3
Yahoo,4,1
search.brave.com,3,2
github-com.translate.goog,3,1
