referrer,views_total,views_unique
github.com,582,336
Google,193,73
pythonawesome.com,9,1
DuckDuckGo,5,3
search.brave.com,5,3
Bing,5,3
yandex.ru,3,3
cracked.io,1,1
shell.cloud.google.com,1,1
