url_path,views_total,views_unique
/bagarrattaa/email-nuker,727,463
/bagarrattaa/email-nuker/issues,48,35
/bagarrattaa/email-nuker/blob/main/bomber.py,43,36
/bagarrattaa/email-nuker/blob/main/emailbomber.py,34,29
/bagarrattaa/email-nuker/issues/15,22,18
/bagarrattaa/email-nuker/blob/main/bomber.bin,21,19
/bagarrattaa/email-nuker/releases/tag/windows2.0,13,11
/bagarrattaa/email-nuker/find/main,13,10
/bagarrattaa/email-nuker/tree/main/.github/workflows,11,11
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,10,8
