url_path,views_total,views_unique
/bagarrattaa/email-nuker,806,500
/bagarrattaa/email-nuker/blob/main/bomber.py,49,36
/bagarrattaa/email-nuker/blob/main/emailbomber.py,35,31
/bagarrattaa/email-nuker/blob/main/bomber.bin,29,27
/bagarrattaa/email-nuker/issues,19,14
/bagarrattaa/email-nuker/tree/main/.github/workflows,16,15
/bagarrattaa/email-nuker/blob/main/README.md,15,11
/bagarrattaa/email-nuker/releases/tag/windows2.0,12,11
/bagarrattaa/email-nuker/find/main,8,8
/bagarrattaa/email-nuker/search,7,7
