time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-30 00:00:00+00:00,10,8,86,41
2023-01-31 00:00:00+00:00,16,11,113,51
2023-02-01 00:00:00+00:00,21,15,74,41
2023-02-02 00:00:00+00:00,21,15,75,33
2023-02-03 00:00:00+00:00,17,14,53,33
2023-02-04 00:00:00+00:00,16,13,92,40
2023-02-05 00:00:00+00:00,7,6,49,29
2023-02-06 00:00:00+00:00,15,14,70,38
2023-02-07 00:00:00+00:00,11,11,88,43
2023-02-08 00:00:00+00:00,26,15,83,43
2023-02-09 00:00:00+00:00,17,15,105,44
2023-02-10 00:00:00+00:00,7,5,61,37
2023-02-11 00:00:00+00:00,12,10,73,47
2023-02-12 00:00:00+00:00,12,8,59,38
