url_path,views_total,views_unique
/bagarrattaa/email-nuker,765,506
/bagarrattaa/email-nuker/blob/main/bomber.py,65,47
/bagarrattaa/email-nuker/blob/main/emailbomber.py,52,41
/bagarrattaa/email-nuker/issues,27,20
/bagarrattaa/email-nuker/blob/main/bomber.bin,26,23
/bagarrattaa/email-nuker/blob/main/README.md,23,19
/bagarrattaa/email-nuker/find/main,22,14
/bagarrattaa/email-nuker/tree/main/.github/workflows,18,13
/bagarrattaa/email-nuker/releases/tag/windows2.0,14,11
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,11,7
