url_path,views_total,views_unique
/bagarrattaa/email-nuker,704,448
/bagarrattaa/email-nuker/blob/main/bomber.py,58,39
/bagarrattaa/email-nuker/blob/main/emailbomber.py,43,33
/bagarrattaa/email-nuker/issues,43,33
/bagarrattaa/email-nuker/blob/main/bomber.bin,20,16
/bagarrattaa/email-nuker/blob/main/README.md,14,13
/bagarrattaa/email-nuker/releases/tag/windows2.0,13,13
/bagarrattaa/email-nuker/find/main,13,12
/bagarrattaa/email-nuker/issues/16,12,11
/bagarrattaa/email-nuker/tree/main/.github/workflows,12,10
