url_path,views_total,views_unique
/bagarrattaa/email-nuker,772,473
/bagarrattaa/email-nuker/blob/main/bomber.py,50,42
/bagarrattaa/email-nuker/issues,47,35
/bagarrattaa/email-nuker/blob/main/emailbomber.py,40,33
/bagarrattaa/email-nuker/blob/main/bomber.bin,23,23
/bagarrattaa/email-nuker/issues/15,19,15
/bagarrattaa/email-nuker/releases/tag/windows2.0,17,15
/bagarrattaa/email-nuker/find/main,16,11
/bagarrattaa/email-nuker/search,10,4
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,8,7
