referrer,views_total,views_unique
github.com,540,264
Google,208,94
emailnuker.onrender.com,30,16
Bing,9,5
DuckDuckGo,6,4
yandex.ru,4,4
github-com.translate.goog,3,1
l.facebook.com,3,1
Yahoo,3,1
facebook.com,2,2
