time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-11 00:00:00+00:00,17,15,93,40
2022-12-12 00:00:00+00:00,7,5,112,45
2022-12-13 00:00:00+00:00,14,10,85,38
2022-12-14 00:00:00+00:00,13,11,105,49
2022-12-15 00:00:00+00:00,16,15,125,61
2022-12-16 00:00:00+00:00,11,8,95,34
2022-12-17 00:00:00+00:00,8,8,58,29
2022-12-18 00:00:00+00:00,7,7,66,34
2022-12-19 00:00:00+00:00,14,12,112,40
2022-12-20 00:00:00+00:00,16,15,86,47
2022-12-21 00:00:00+00:00,9,9,55,36
2022-12-22 00:00:00+00:00,8,8,68,41
2022-12-23 00:00:00+00:00,16,16,99,52
2022-12-24 00:00:00+00:00,15,15,58,31
