url_path,views_total,views_unique
/bagarrattaa/email-nuker,757,452
/bagarrattaa/email-nuker/blob/main/bomber.py,35,24
/bagarrattaa/email-nuker/blob/main/emailbomber.py,32,27
/bagarrattaa/email-nuker/issues,30,19
/bagarrattaa/email-nuker/blob/main/bomber.bin,19,17
/bagarrattaa/email-nuker/releases,16,11
/bagarrattaa/email-nuker/tree/main/.github/workflows,12,11
/bagarrattaa/email-nuker/releases/tag/windows2.0,11,10
/bagarrattaa/email-nuker/blob/main/README.md,11,8
/bagarrattaa/email-nuker/issues/20,9,9
