referrer,views_total,views_unique
github.com,558,338
Google,207,95
Bing,11,6
pythonawesome.com,9,1
search.brave.com,7,5
DuckDuckGo,6,5
youtube.com,5,4
yandex.ru,4,4
cracked.io,1,1
shell.cloud.google.com,1,1
