referrer,views_total,views_unique
github.com,628,320
Google,177,73
emailnuker.onrender.com,57,31
DuckDuckGo,8,4
shell.cloud.google.com,5,1
Yahoo,3,1
yandex.ru,2,2
fr.search.yahoo.com,1,1
search.brave.com,1,1
Bing,1,1
