url_path,views_total,views_unique
/bagarrattaa/email-nuker,771,494
/bagarrattaa/email-nuker/blob/main/bomber.py,62,46
/bagarrattaa/email-nuker/blob/main/emailbomber.py,49,39
/bagarrattaa/email-nuker/issues,26,20
/bagarrattaa/email-nuker/blob/main/bomber.bin,25,23
/bagarrattaa/email-nuker/tree/main/.github/workflows,22,17
/bagarrattaa/email-nuker/blob/main/README.md,19,15
/bagarrattaa/email-nuker/find/main,19,13
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,16,10
/bagarrattaa/email-nuker/releases/tag/windows2.0,11,10
