referrer,views_total,views_unique
github.com,634,209
Google,350,160
Bing,10,2
email-nuker.herokuapp.com,9,4
errorsfind.com,7,4
DuckDuckGo,5,3
github-com.translate.goog,3,1
emailnuker.herokuapp.com,2,2
cracked.io,2,2
Yahoo,1,1
