referrer,views_total,views_unique
github.com,403,201
Google,277,160
emailnuker.herokuapp.com,30,17
errorsfind.com,9,5
search.brave.com,4,3
DuckDuckGo,4,3
m.facebook.com,2,1
search-drru.dt.dbankcloud.com,1,1
