referrer,views_total,views_unique
github.com,532,273
Google,217,110
search.brave.com,15,3
emailnuker.herokuapp.com,11,9
Bing,5,4
DuckDuckGo,2,2
errorsfind.com,1,1
Yahoo,1,1
