url_path,views_total,views_unique
/bagarrattaa/email-nuker,781,509
/bagarrattaa/email-nuker/blob/main/emailbomber.py,38,28
/bagarrattaa/email-nuker/blob/main/bomber.py,36,27
/bagarrattaa/email-nuker/blob/main/README.md,32,19
/bagarrattaa/email-nuker/issues,31,15
/bagarrattaa/email-nuker/find/main,24,12
/bagarrattaa/email-nuker/releases/tag/windows2.0,17,16
/bagarrattaa/email-nuker/blob/main/bomber.bin,13,12
/bagarrattaa/email-nuker/issues/20,9,5
/bagarrattaa/email-nuker/tree/main/.github/workflows,8,8
