time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-27 00:00:00+00:00,6,5,72,33
2022-12-28 00:00:00+00:00,9,8,67,41
2022-12-29 00:00:00+00:00,17,13,63,42
2022-12-30 00:00:00+00:00,7,6,42,29
2022-12-31 00:00:00+00:00,13,12,41,23
2023-01-01 00:00:00+00:00,8,8,65,35
2023-01-02 00:00:00+00:00,15,13,71,37
2023-01-03 00:00:00+00:00,20,17,163,61
2023-01-04 00:00:00+00:00,13,12,95,51
2023-01-05 00:00:00+00:00,7,7,59,29
2023-01-06 00:00:00+00:00,4,4,37,29
2023-01-07 00:00:00+00:00,10,9,51,24
2023-01-08 00:00:00+00:00,1,1,67,22
2023-01-09 00:00:00+00:00,8,8,71,37
