time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-18 00:00:00+00:00,9,9,90,40
2022-11-19 00:00:00+00:00,8,7,78,34
2022-11-20 00:00:00+00:00,7,7,79,41
2022-11-21 00:00:00+00:00,19,18,76,39
2022-11-22 00:00:00+00:00,18,15,104,39
2022-11-23 00:00:00+00:00,9,9,88,39
2022-11-24 00:00:00+00:00,10,9,66,41
2022-11-25 00:00:00+00:00,20,17,58,32
2022-11-26 00:00:00+00:00,17,15,61,30
2022-11-27 00:00:00+00:00,13,12,99,45
2022-11-28 00:00:00+00:00,9,9,55,33
2022-11-29 00:00:00+00:00,14,14,81,35
2022-11-30 00:00:00+00:00,15,14,66,38
2022-12-01 00:00:00+00:00,10,9,65,36
