url_path,views_total,views_unique
/bagarrattaa/email-nuker,809,501
/bagarrattaa/email-nuker/blob/main/bomber.py,40,31
/bagarrattaa/email-nuker/blob/main/emailbomber.py,39,33
/bagarrattaa/email-nuker/issues,32,24
/bagarrattaa/email-nuker/blob/main/bomber.bin,28,22
/bagarrattaa/email-nuker/find/main,16,15
/bagarrattaa/email-nuker/blob/main/README.md,15,10
/bagarrattaa/email-nuker/releases/tag/windows2.0,12,12
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,8,8
/bagarrattaa/email-nuker/tree/main/.github/workflows,8,7
