url_path,views_total,views_unique
/bagarrattaa/email-nuker,748,477
/bagarrattaa/email-nuker/blob/main/bomber.py,38,30
/bagarrattaa/email-nuker/blob/main/emailbomber.py,32,27
/bagarrattaa/email-nuker/blob/main/bomber.bin,27,22
/bagarrattaa/email-nuker/issues,22,17
/bagarrattaa/email-nuker/releases/tag/windows2.0,15,14
/bagarrattaa/email-nuker/blob/main/README.md,14,9
/bagarrattaa/email-nuker/find/main,13,12
/bagarrattaa/email-nuker/issues/15,12,11
/bagarrattaa/email-nuker/tree/main/.github/workflows,7,6
