url_path,views_total,views_unique
/bagarrattaa/email-nuker,759,454
/bagarrattaa/email-nuker/blob/main/bomber.py,45,32
/bagarrattaa/email-nuker/blob/main/emailbomber.py,41,35
/bagarrattaa/email-nuker/blob/main/bomber.bin,25,23
/bagarrattaa/email-nuker/releases/tag/windows2.0,19,14
/bagarrattaa/email-nuker/find/main,18,16
/bagarrattaa/email-nuker/tree/main/.github/workflows,13,13
/bagarrattaa/email-nuker/blob/main/README.md,11,11
/bagarrattaa/email-nuker/search,10,5
/bagarrattaa/email-nuker/issues,6,6
