url_path,views_total,views_unique
/bagarrattaa/email-nuker,730,492
/bagarrattaa/email-nuker/blob/main/bomber.py,48,36
/bagarrattaa/email-nuker/blob/main/emailbomber.py,39,31
/bagarrattaa/email-nuker/blob/main/bomber.bin,27,24
/bagarrattaa/email-nuker/issues,19,14
/bagarrattaa/email-nuker/releases/tag/windows2.0,14,11
/bagarrattaa/email-nuker/blob/main/README.md,13,10
/bagarrattaa/email-nuker/search,9,5
/bagarrattaa/email-nuker/issues/22,8,7
/bagarrattaa/email-nuker/tree/main/.github/workflows,7,6
