url_path,views_total,views_unique
/bagarrattaa/email-nuker,754,441
/bagarrattaa/email-nuker/blob/main/bomber.py,34,22
/bagarrattaa/email-nuker/blob/main/emailbomber.py,30,25
/bagarrattaa/email-nuker/issues,30,19
/bagarrattaa/email-nuker/blob/main/bomber.bin,21,19
/bagarrattaa/email-nuker/releases,14,9
/bagarrattaa/email-nuker/blob/main/README.md,12,9
/bagarrattaa/email-nuker/tree/main/.github/workflows,11,10
/bagarrattaa/email-nuker/issues/20,9,9
/bagarrattaa/email-nuker/releases/tag/windows2.0,8,7
