referrer,views_total,views_unique
github.com,578,267
Google,240,118
emailnuker.herokuapp.com,27,14
DuckDuckGo,16,9
Bing,5,1
errorsfind.com,4,3
search.brave.com,2,2
bestpythonide.com,1,1
