referrer,views_total,views_unique
github.com,601,209
Google,308,153
emailnuker.herokuapp.com,17,6
Bing,11,3
email-nuker.herokuapp.com,8,2
errorsfind.com,5,3
DuckDuckGo,3,2
github-com.translate.goog,3,1
cracked.io,2,2
Yahoo,1,1
