url_path,views_total,views_unique
/bagarrattaa/email-nuker,790,478
/bagarrattaa/email-nuker/issues,42,27
/bagarrattaa/email-nuker/blob/main/emailbomber.py,39,32
/bagarrattaa/email-nuker/blob/main/bomber.py,39,30
/bagarrattaa/email-nuker/issues/16,20,17
/bagarrattaa/email-nuker/blob/main/bomber.bin,17,16
/bagarrattaa/email-nuker/find/main,13,13
/bagarrattaa/email-nuker/blob/main/README.md,12,9
/bagarrattaa/email-nuker/releases/tag/windows2.0,11,10
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,7,6
