url_path,views_total,views_unique
/bagarrattaa/email-nuker,884,496
/bagarrattaa/email-nuker/issues,59,21
/bagarrattaa/email-nuker/blob/main/bomber.py,53,32
/bagarrattaa/email-nuker/blob/main/emailbomber.py,30,26
/bagarrattaa/email-nuker/releases/tag/windows2.0,22,15
/bagarrattaa/email-nuker/blob/main/bomber.bin,20,18
/bagarrattaa/email-nuker/blob/main/README.md,20,12
/bagarrattaa/email-nuker/find/main,11,10
/bagarrattaa/email-nuker/tree/main/.github/workflows,10,10
/bagarrattaa/email-nuker/issues/19,10,4
