url_path,views_total,views_unique
/bagarrattaa/email-nuker,859,492
/bagarrattaa/email-nuker/issues,53,21
/bagarrattaa/email-nuker/blob/main/bomber.py,49,29
/bagarrattaa/email-nuker/blob/main/emailbomber.py,28,24
/bagarrattaa/email-nuker/blob/main/README.md,21,12
/bagarrattaa/email-nuker/blob/main/bomber.bin,18,16
/bagarrattaa/email-nuker/releases/tag/windows2.0,16,11
/bagarrattaa/email-nuker/find/main,13,11
/bagarrattaa/email-nuker/issues/19,11,5
/bagarrattaa/email-nuker/tree/main/.github/workflows,10,10
