url_path,views_total,views_unique
/bagarrattaa/email-nuker,800,481
/bagarrattaa/email-nuker/blob/main/bomber.py,60,40
/bagarrattaa/email-nuker/blob/main/emailbomber.py,47,41
/bagarrattaa/email-nuker/blob/main/bomber.bin,32,27
/bagarrattaa/email-nuker/tree/main/.github/workflows,20,19
/bagarrattaa/email-nuker/blob/main/README.md,17,16
/bagarrattaa/email-nuker/releases/tag/windows2.0,17,14
/bagarrattaa/email-nuker/find/main,16,16
/bagarrattaa/email-nuker/issues,12,10
/bagarrattaa/email-nuker/search,12,7
