url_path,views_total,views_unique
/bagarrattaa/email-nuker,830,541
/bagarrattaa/email-nuker/issues,66,42
/bagarrattaa/email-nuker/blob/main/bomber.py,41,32
/bagarrattaa/email-nuker/blob/main/emailbomber.py,33,28
/bagarrattaa/email-nuker/issues/16,29,24
/bagarrattaa/email-nuker/blob/main/bomber.bin,15,14
/bagarrattaa/email-nuker/find/main,14,13
/bagarrattaa/email-nuker/releases/tag/windows2.0,13,12
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,12,9
/bagarrattaa/email-nuker/blob/main/README.md,12,9
