url_path,views_total,views_unique
/bagarrattaa/email-nuker,739,445
/bagarrattaa/email-nuker/blob/main/bomber.py,46,33
/bagarrattaa/email-nuker/blob/main/emailbomber.py,40,34
/bagarrattaa/email-nuker/blob/main/bomber.bin,27,24
/bagarrattaa/email-nuker/releases/tag/windows2.0,17,14
/bagarrattaa/email-nuker/find/main,16,14
/bagarrattaa/email-nuker/search,16,7
/bagarrattaa/email-nuker/tree/main/.github/workflows,12,12
/bagarrattaa/email-nuker/blob/main/README.md,10,10
/bagarrattaa/email-nuker/issues,7,7
