referrer,views_total,views_unique
github.com,518,259
Google,200,112
search.brave.com,14,2
Bing,11,6
emailnuker.herokuapp.com,5,5
lm.facebook.com,2,1
errorsfind.com,1,1
github-com.translate.goog,1,1
