url_path,views_total,views_unique
/bagarrattaa/email-nuker,833,503
/bagarrattaa/email-nuker/blob/main/emailbomber.py,54,39
/bagarrattaa/email-nuker/blob/main/bomber.py,53,39
/bagarrattaa/email-nuker/issues,34,27
/bagarrattaa/email-nuker/blob/main/bomber.bin,27,27
/bagarrattaa/email-nuker/releases/tag/windows2.0,18,15
/bagarrattaa/email-nuker/find/main,17,14
/bagarrattaa/email-nuker/search,12,6
/bagarrattaa/email-nuker/tree/main/.github/workflows,11,11
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,9,9
