time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-03 00:00:00+00:00,17,14,53,33
2023-02-04 00:00:00+00:00,16,13,92,40
2023-02-05 00:00:00+00:00,7,6,49,29
2023-02-06 00:00:00+00:00,15,14,70,38
2023-02-07 00:00:00+00:00,11,11,88,43
2023-02-08 00:00:00+00:00,26,15,83,43
2023-02-09 00:00:00+00:00,17,15,105,44
2023-02-10 00:00:00+00:00,7,5,61,37
2023-02-11 00:00:00+00:00,12,10,73,47
2023-02-12 00:00:00+00:00,13,9,64,43
2023-02-13 00:00:00+00:00,23,16,86,31
2023-02-14 00:00:00+00:00,15,10,107,55
2023-02-15 00:00:00+00:00,16,12,68,41
2023-02-16 00:00:00+00:00,10,10,74,48
