url_path,views_total,views_unique
/bagarrattaa/email-nuker,818,533
/bagarrattaa/email-nuker/blob/main/bomber.py,45,35
/bagarrattaa/email-nuker/blob/main/emailbomber.py,43,32
/bagarrattaa/email-nuker/blob/main/README.md,31,24
/bagarrattaa/email-nuker/find/main,27,13
/bagarrattaa/email-nuker/issues,25,21
/bagarrattaa/email-nuker/tree/main/.github/workflows,20,15
/bagarrattaa/email-nuker/releases/tag/windows2.0,17,16
/bagarrattaa/email-nuker/blob/main/bomber.bin,17,14
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,15,9
