url_path,views_total,views_unique
/bagarrattaa/email-nuker,870,505
/bagarrattaa/email-nuker/blob/main/bomber.py,49,29
/bagarrattaa/email-nuker/issues,45,21
/bagarrattaa/email-nuker/blob/main/emailbomber.py,31,25
/bagarrattaa/email-nuker/blob/main/README.md,24,15
/bagarrattaa/email-nuker/blob/main/bomber.bin,18,16
/bagarrattaa/email-nuker/releases/tag/windows2.0,18,13
/bagarrattaa/email-nuker/tree/main/.github/workflows,13,11
/bagarrattaa/email-nuker/find/main,12,10
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,10,8
