referrer,views_total,views_unique
github.com,509,275
Google,196,113
emailnuker.herokuapp.com,19,4
search.brave.com,5,2
awesomeopensource.com,4,1
itexpertz.net,3,2
facebook.com,2,2
DuckDuckGo,2,2
googleweblight.com,2,1
Bing,2,1
