url_path,views_total,views_unique
/bagarrattaa/email-nuker,741,448
/bagarrattaa/email-nuker/blob/main/emailbomber.py,51,37
/bagarrattaa/email-nuker/blob/main/bomber.py,46,36
/bagarrattaa/email-nuker/issues,29,22
/bagarrattaa/email-nuker/blob/main/bomber.bin,27,22
/bagarrattaa/email-nuker/tree/main/.github/workflows,15,14
/bagarrattaa/email-nuker/find/main,15,11
/bagarrattaa/email-nuker/blob/main/README.md,15,9
/bagarrattaa/email-nuker/releases/tag/windows2.0,12,11
/bagarrattaa/email-nuker/issues/13,9,8
