referrer,views_total,views_unique
github.com,433,245
Google,142,66
yandex.ru,16,10
DuckDuckGo,12,5
emailnuker.onrender.com,9,7
Bing,7,5
search-drru.dt.dbankcloud.com,4,1
yandex.by,2,1
github-com.translate.goog,2,1
t.me,1,1
