referrer,views_total,views_unique
github.com,608,283
Google,241,118
emailnuker.herokuapp.com,22,10
DuckDuckGo,16,9
Bing,10,2
errorsfind.com,5,4
search.brave.com,2,2
bestpythonide.com,1,1
