referrer,views_total,views_unique
github.com,493,258
Google,199,98
emailnuker.onrender.com,50,22
DuckDuckGo,7,3
Bing,4,3
yandex.ru,3,3
l.facebook.com,3,1
facebook.com,2,2
m.facebook.com,2,1
search.brave.com,1,1
