url_path,views_total,views_unique
/bagarrattaa/email-nuker,555,380
/bagarrattaa/email-nuker/blob/main/bomber.py,26,15
/bagarrattaa/email-nuker/issues,19,16
/bagarrattaa/email-nuker/blob/main/README.md,16,11
/bagarrattaa/email-nuker/blob/main/emailbomber.py,13,11
/bagarrattaa/email-nuker/blob/main/bomber.bin,10,8
/bagarrattaa/email-nuker/releases/tag/windows2.0,9,9
/bagarrattaa/email-nuker/find/main,8,8
/bagarrattaa/email-nuker/tree/main/.github/workflows,7,4
/bagarrattaa/email-nuker/blob/main/.github/workflows/dd.yml,6,5
