referrer,views_total,views_unique
github.com,554,287
Google,184,89
emailnuker.onrender.com,47,24
DuckDuckGo,7,3
shell.cloud.google.com,5,1
Bing,4,3
yandex.ru,3,3
fr.search.yahoo.com,1,1
search.brave.com,1,1
turkhackteam.org,1,1
