referrer,views_total,views_unique
github.com,621,329
Google,179,101
Yahoo,6,1
search.brave.com,5,2
facebook.com,2,2
Bing,2,1
googleweblight.com,2,1
DuckDuckGo,2,1
emailnuker.herokuapp.com,1,1
awesomeopensource.com,1,1
