url_path,views_total,views_unique
/bagarrattaa/email-nuker,722,435
/bagarrattaa/email-nuker/blob/main/bomber.py,54,35
/bagarrattaa/email-nuker/blob/main/emailbomber.py,42,32
/bagarrattaa/email-nuker/issues,40,31
/bagarrattaa/email-nuker/blob/main/bomber.bin,21,16
/bagarrattaa/email-nuker/find/main,16,15
/bagarrattaa/email-nuker/releases/tag/windows2.0,13,13
/bagarrattaa/email-nuker/issues/16,12,11
/bagarrattaa/email-nuker/blob/main/README.md,12,9
/bagarrattaa/email-nuker/tree/main/.github/workflows,10,9
