referrer,views_total,views_unique
github.com,568,346
Google,175,82
Bing,11,6
pythonawesome.com,9,1
search.brave.com,7,5
DuckDuckGo,5,4
yandex.ru,4,4
youtube.com,4,3
cracked.io,1,1
shell.cloud.google.com,1,1
