referrer,views_total,views_unique
github.com,474,263
Google,193,108
emailnuker.herokuapp.com,42,17
DuckDuckGo,4,4
Bing,4,3
awesomeopensource.com,4,1
itexpertz.net,1,1
search.brave.com,1,1
yandex.ru,1,1
Yahoo,1,1
